Equipo,Goles a Favor,Goles en Contra,Puntos,Clasificación
Athletic Club,46,24,52,Champions League
Atlético de Madrid,46,22,56,Champions League
CA Osasuna,33,39,33,Mitja-Baixa
CD Leganés,26,43,27,Descens
Deportivo Alavés,32,42,27,Mitja-Baixa
FC Barcelona,75,27,60,Champions League
Getafe CF,25,23,36,Mitja-Baixa
Girona FC,36,41,34,Mitja-Baixa
RC Celta de Vigo,41,41,39,Mitja-Alta
RCD Espanyol de Barcelona,26,39,28,Mitja-Baixa
RCD Mallorca,28,34,40,Europa
Rayo Vallecano,31,31,37,Mitja-Alta
Real Betis,38,35,44,Mitja-Alta
Real Madrid,59,27,60,Champions League
Real Sociedad,25,30,35,Mitja-Baixa
Real Valladolid,18,63,16,Descens
Sevilla FC,32,37,36,Mitja-Alta
UD Las Palmas,32,47,25,Descens
Valencia CF,31,46,28,Mitja-Baixa
Villarreal CF,49,38,44,Mitja-Alta
